Time(ms),Fhr1(BPM),Fhr2(BPM),Uc(TOCO),Time_sec,Avg_FHR_BPM,Avg_Pulse_Interval_ms
250,126,0,9,0.25,126.73333333333333,473.4350341925302
500,126,0,9,0.5,126.73333333333333,473.4350341925302
750,126,0,10,0.75,126.73333333333333,473.4350341925302
1000,126,0,10,1.0,126.73333333333333,473.4350341925302
1250,126,0,10,1.25,126.73333333333333,473.4350341925302
1500,126,0,10,1.5,126.73333333333333,473.4350341925302
1750,127,0,10,1.75,126.73333333333333,473.4350341925302
2000,127,0,10,2.0,126.73333333333333,473.4350341925302
2250,127,0,10,2.25,126.73333333333333,473.4350341925302
2500,127,0,10,2.5,126.73333333333333,473.4350341925302
2750,128,0,10,2.75,126.73333333333333,473.4350341925302
3000,128,0,10,3.0,126.73333333333333,473.4350341925302
3250,127,0,10,3.25,126.73333333333333,473.4350341925302
3500,127,0,10,3.5,126.73333333333333,473.4350341925302
3750,127,0,11,3.75,126.73333333333333,473.4350341925302
4000,127,0,11,4.0,125.66666666666667,477.45358090185675
4250,127,0,11,4.25,125.66666666666667,477.45358090185675
4500,127,0,11,4.5,125.66666666666667,477.45358090185675
4750,126,0,11,4.75,125.66666666666667,477.45358090185675
5000,126,0,11,5.0,125.66666666666667,477.45358090185675
5250,126,0,11,5.25,125.66666666666667,477.45358090185675
5500,126,0,11,5.5,125.66666666666667,477.45358090185675
5750,125,0,11,5.75,125.66666666666667,477.45358090185675
6000,125,0,11,6.0,125.66666666666667,477.45358090185675
6250,125,0,11,6.25,125.66666666666667,477.45358090185675
6500,125,0,11,6.5,125.66666666666667,477.45358090185675
6750,125,0,11,6.75,125.66666666666667,477.45358090185675
7000,125,0,11,7.0,125.66666666666667,477.45358090185675
7250,125,0,11,7.25,125.66666666666667,477.45358090185675
7500,125,0,11,7.5,125.66666666666667,477.45358090185675
7750,125,0,11,7.75,124.46666666666667,482.05677557579
8000,125,0,11,8.0,124.46666666666667,482.05677557579
8250,124,0,11,8.25,124.46666666666667,482.05677557579
8500,124,0,11,8.5,124.46666666666667,482.05677557579
8750,124,0,11,8.75,124.46666666666667,482.05677557579
9000,124,0,11,9.0,124.46666666666667,482.05677557579
9250,125,0,11,9.25,124.46666666666667,482.05677557579
9500,125,0,11,9.5,124.46666666666667,482.05677557579
9750,125,0,11,9.75,124.46666666666667,482.05677557579
10000,125,0,11,10.0,124.46666666666667,482.05677557579
10250,125,0,12,10.25,124.46666666666667,482.05677557579
10500,125,0,12,10.5,124.46666666666667,482.05677557579
10750,124,0,13,10.75,124.46666666666667,482.05677557579
11000,124,0,13,11.0,124.46666666666667,482.05677557579
11250,123,0,13,11.25,124.46666666666667,482.05677557579
11500,123,0,13,11.5,124.46666666666667,482.05677557579
11750,123,0,14,11.75,124.46666666666667,482.05677557579
12000,123,0,14,12.0,124.46666666666667,482.05677557579
12250,124,0,15,12.25,124.46666666666667,482.05677557579
12500,124,0,15,12.5,124.46666666666667,482.05677557579
12750,125,0,16,12.75,124.46666666666667,482.05677557579
13000,125,0,16,13.0,124.46666666666667,482.05677557579
13250,125,0,17,13.25,124.46666666666667,482.05677557579
13500,125,0,17,13.5,124.46666666666667,482.05677557579
13750,125,0,17,13.75,124.46666666666667,482.05677557579
14000,125,0,17,14.0,124.46666666666667,482.05677557579
14250,125,0,19,14.25,124.46666666666667,482.05677557579
14500,125,0,19,14.5,124.46666666666667,482.05677557579
14750,125,0,20,14.75,124.46666666666667,482.05677557579
15000,125,0,20,15.0,124.46666666666667,482.05677557579
15250,126,0,21,15.25,126.0,476.1904761904762
15500,126,0,21,15.5,126.0,476.1904761904762
15750,126,0,22,15.75,126.0,476.1904761904762
16000,126,0,22,16.0,126.0,476.1904761904762
16250,126,0,23,16.25,126.0,476.1904761904762
16500,126,0,23,16.5,126.0,476.1904761904762
16750,126,0,24,16.75,126.0,476.1904761904762
17000,126,0,24,17.0,126.0,476.1904761904762
17250,126,0,25,17.25,126.0,476.1904761904762
17500,126,0,25,17.5,126.0,476.1904761904762
17750,126,0,26,17.75,126.0,476.1904761904762
18000,126,0,26,18.0,126.0,476.1904761904762
18250,126,0,27,18.25,126.0,476.1904761904762
18500,126,0,27,18.5,126.0,476.1904761904762
18750,126,0,28,18.75,126.0,476.1904761904762
19000,126,0,28,19.0,126.66666666666667,473.6842105263158
19250,126,0,29,19.25,126.66666666666667,473.6842105263158
19500,126,0,29,19.5,126.66666666666667,473.6842105263158
19750,127,0,30,19.75,126.66666666666667,473.6842105263158
20000,127,0,30,20.0,126.66666666666667,473.6842105263158
20250,126,0,31,20.25,126.66666666666667,473.6842105263158
20500,126,0,31,20.5,126.66666666666667,473.6842105263158
20750,126,0,31,20.75,126.66666666666667,473.6842105263158
21000,126,0,31,21.0,126.66666666666667,473.6842105263158
21250,127,0,32,21.25,126.66666666666667,473.6842105263158
21500,127,0,32,21.5,126.66666666666667,473.6842105263158
21750,128,0,33,21.75,126.66666666666667,473.6842105263158
22000,128,0,33,22.0,126.66666666666667,473.6842105263158
22250,127,0,33,22.25,126.66666666666667,473.6842105263158
22500,127,0,33,22.5,126.66666666666667,473.6842105263158
22750,126,0,34,22.75,125.53333333333333,477.9607010090281
23000,126,0,34,23.0,125.53333333333333,477.9607010090281
23250,126,0,35,23.25,125.53333333333333,477.9607010090281
23500,126,0,35,23.5,125.53333333333333,477.9607010090281
23750,126,0,36,23.75,125.53333333333333,477.9607010090281
24000,126,0,36,24.0,125.53333333333333,477.9607010090281
24250,126,0,36,24.25,125.53333333333333,477.9607010090281
24500,126,0,36,24.5,125.53333333333333,477.9607010090281
24750,125,0,37,24.75,125.53333333333333,477.9607010090281
25000,125,0,37,25.0,125.53333333333333,477.9607010090281
25250,125,0,38,25.25,125.53333333333333,477.9607010090281
25500,125,0,38,25.5,125.53333333333333,477.9607010090281
25750,125,0,39,25.75,125.53333333333333,477.9607010090281
26000,125,0,39,26.0,125.53333333333333,477.9607010090281
26250,125,0,40,26.25,125.53333333333333,477.9607010090281
26500,125,0,40,26.5,126.86666666666666,472.93746715712035
26750,125,0,41,26.75,126.86666666666666,472.93746715712035
27000,125,0,41,27.0,126.86666666666666,472.93746715712035
27250,126,0,43,27.25,126.86666666666666,472.93746715712035
27500,126,0,43,27.5,126.86666666666666,472.93746715712035
27750,126,0,44,27.75,126.86666666666666,472.93746715712035
28000,126,0,44,28.0,126.86666666666666,472.93746715712035
28250,128,0,45,28.25,126.86666666666666,472.93746715712035
28500,128,0,45,28.5,126.86666666666666,472.93746715712035
28750,129,0,47,28.75,126.86666666666666,472.93746715712035
29000,129,0,47,29.0,126.86666666666666,472.93746715712035
29250,128,0,48,29.25,126.86666666666666,472.93746715712035
29500,128,0,48,29.5,126.86666666666666,472.93746715712035
29750,127,0,49,29.75,126.86666666666666,472.93746715712035
30000,127,0,49,30.0,126.86666666666666,472.93746715712035
30250,127,0,51,30.25,127.8,469.4835680751174
30500,127,0,51,30.5,127.8,469.4835680751174
30750,127,0,52,30.75,127.8,469.4835680751174
31000,127,0,52,31.0,127.8,469.4835680751174
31250,128,0,53,31.25,127.8,469.4835680751174
31500,128,0,53,31.5,127.8,469.4835680751174
31750,128,0,54,31.75,127.8,469.4835680751174
32000,128,0,54,32.0,127.8,469.4835680751174
32250,128,0,55,32.25,127.8,469.4835680751174
32500,128,0,55,32.5,127.8,469.4835680751174
32750,128,0,56,32.75,127.8,469.4835680751174
33000,128,0,56,33.0,127.8,469.4835680751174
33250,128,0,57,33.25,127.8,469.4835680751174
33500,128,0,57,33.5,127.8,469.4835680751174
33750,129,0,58,33.75,127.8,469.4835680751174
34000,129,0,58,34.0,130.06666666666666,461.30189646335214
34250,129,0,59,34.25,130.06666666666666,461.30189646335214
34500,129,0,59,34.5,130.06666666666666,461.30189646335214
34750,129,0,60,34.75,130.06666666666666,461.30189646335214
35000,129,0,60,35.0,130.06666666666666,461.30189646335214
35250,129,0,61,35.25,130.06666666666666,461.30189646335214
35500,129,0,61,35.5,130.06666666666666,461.30189646335214
35750,130,0,61,35.75,130.06666666666666,461.30189646335214
36000,130,0,61,36.0,130.06666666666666,461.30189646335214
36250,131,0,62,36.25,130.06666666666666,461.30189646335214
36500,131,0,62,36.5,130.06666666666666,461.30189646335214
36750,131,0,63,36.75,130.06666666666666,461.30189646335214
37000,131,0,63,37.0,130.06666666666666,461.30189646335214
37250,132,0,64,37.25,130.06666666666666,461.30189646335214
37500,132,0,64,37.5,130.06666666666666,461.30189646335214
37750,132,0,64,37.75,136.6,439.2386530014642
38000,132,0,64,38.0,136.6,439.2386530014642
38250,133,0,65,38.25,136.6,439.2386530014642
38500,133,0,65,38.5,136.6,439.2386530014642
38750,134,0,66,38.75,136.6,439.2386530014642
39000,134,0,66,39.0,136.6,439.2386530014642
39250,136,0,67,39.25,136.6,439.2386530014642
39500,136,0,67,39.5,136.6,439.2386530014642
39750,138,0,68,39.75,136.6,439.2386530014642
40000,138,0,68,40.0,136.6,439.2386530014642
40250,140,0,69,40.25,136.6,439.2386530014642
40500,140,0,69,40.5,136.6,439.2386530014642
40750,141,0,69,40.75,136.6,439.2386530014642
41000,141,0,69,41.0,136.6,439.2386530014642
41250,141,0,70,41.25,136.6,439.2386530014642
41500,141,0,70,41.5,142.6,420.75736325385697
41750,141,0,71,41.75,142.6,420.75736325385697
42000,141,0,71,42.0,142.6,420.75736325385697
42250,142,0,72,42.25,142.6,420.75736325385697
42500,142,0,72,42.5,142.6,420.75736325385697
42750,142,0,73,42.75,142.6,420.75736325385697
43000,142,0,73,43.0,142.6,420.75736325385697
43250,143,0,74,43.25,142.6,420.75736325385697
43500,143,0,74,43.5,142.6,420.75736325385697
43750,144,0,74,43.75,142.6,420.75736325385697
44000,144,0,74,44.0,142.6,420.75736325385697
44250,143,0,76,44.25,142.6,420.75736325385697
44500,143,0,76,44.5,142.6,420.75736325385697
44750,144,0,76,44.75,142.6,420.75736325385697
45000,144,0,76,45.0,142.6,420.75736325385697
45250,145,0,77,45.25,149.2,402.1447721179625
45500,145,0,77,45.5,149.2,402.1447721179625
45750,146,0,78,45.75,149.2,402.1447721179625
46000,146,0,78,46.0,149.2,402.1447721179625
46250,147,0,80,46.25,149.2,402.1447721179625
46500,147,0,80,46.5,149.2,402.1447721179625
46750,149,0,80,46.75,149.2,402.1447721179625
47000,149,0,80,47.0,149.2,402.1447721179625
47250,150,0,80,47.25,149.2,402.1447721179625
47500,150,0,80,47.5,149.2,402.1447721179625
47750,152,0,80,47.75,149.2,402.1447721179625
48000,152,0,80,48.0,149.2,402.1447721179625
48250,153,0,79,48.25,149.2,402.1447721179625
48500,153,0,79,48.5,149.2,402.1447721179625
48750,154,0,79,48.75,149.2,402.1447721179625
49000,154,0,79,49.0,154.66666666666666,387.93103448275866
49250,155,0,78,49.25,154.66666666666666,387.93103448275866
49500,155,0,78,49.5,154.66666666666666,387.93103448275866
49750,155,0,77,49.75,154.66666666666666,387.93103448275866
